id,title,year,stream,mechanism,granularity,policy_source,provenance_type,formal_guarantee,implementation_or_artifact,evaluation,closest_relation_to_conflux,adoption_priority,evidence_tier,source_url,notes
CONFLUX-REPORT,Securing LLM Assistants via Fine-Grained Provenance-Based Authority,2026,Conflux,Principal influence union and permission intersection; SLED prototype,execution/action,existing ACS,possible-author principal sets,no PE under stated assumptions,project report and prototype,~1.5M bounded traces,baseline contribution and extensions,core,A,local:Raya_Project_Report.pdf,"Includes delegation, harmless-action, safety, and side-channel discussion"
CONFLUX-PREPRINT,Influence Tracking for Secure LLM Agents: Preventing Privilege Escalation Under Worst-Case Model Behaviour,2026,Conflux,ITES plus bounded exhaustive SLED,execution/action,existing ACS,possible-author principal sets,authority monotonicity and definition-relative maximal authorization,preprint,"1,462,607 traces; incomplete traces excluded",current formal claim set,core,A,local:Preprint.pdf,"Proof depends on provenance, ACS, and enforcement soundness"
CONFLUX-REPO,Conflux: Principal Context Is All You Need for Secure AI Agents,2026,Conflux,Principal Context architecture; policies/providers/benchmarks,value/action/session,existing ACS plus adapters,artifact and execution provenance,implementation-level goal,Python repository,unit and integration-oriented tests,current engineering substrate,core,A,https://github.com/RayaBuckley/Conflux/,Repository semantics need consolidation and reproducible experiments
CAMEL,Defeating Prompt Injections by Design,2025,System-level agent security,trusted planner + quarantined data processing + capability policies,value/tool call,developer policy,capability/data provenance,policy compliance under architecture assumptions,reference implementation,AgentDojo,"closest predecessor; stronger planning architecture, custom policy burden",high,B,https://arxiv.org/abs/2503.18813,Security still depends on trusted planning/control-flow construction
DESIGN-PATTERNS,Design Patterns for Securing LLM Agents against Prompt Injections,2025,System architecture,catalogue of dual-model and isolation patterns,component/flow,architecture pattern,trust boundary labels,pattern-level reasoning,paper patterns,case analyses,architectural vocabulary for Conflux adapters,medium,B,https://arxiv.org/abs/2506.08837,"Use as taxonomy, not direct formal competitor"
FSECURE,System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective,2024,Information-flow agent security,system-level IFC and f-secure agent framing,data/action,IFC policy,trust/information labels,flow-security claim under monitor assumptions,prototype/paper,agent scenarios,direct foundation for worst-case model framing,high,B,https://arxiv.org/abs/2409.19091,Must be discussed before claiming novel system-level framing
FIDES,Securing AI Agents with Information-Flow Control,2025,Information-flow agent security,confidentiality/integrity labels and selective hiding,value/tool call,IFC policy,dynamic labels,deterministic IFC enforcement,implementation,AgentDojo,closest confidentiality/integrity complement,high,B,https://arxiv.org/abs/2505.23643,Compare principal identity sets with lattice labels
RTBAS,RTBAS: Defending LLM Agents Against Prompt Injection and Privacy Leakage,2025,Runtime agent security,"IFC, dependency screeners, selective confirmation",value/tool call,runtime rules + confirmation,dependency/taint,blocks policy-violating flows under assumptions,implementation,AgentDojo,useful hybrid of monitor and human confirmation,high,B,https://arxiv.org/abs/2502.08966,Reported low utility loss should be independently reproduced
CONSECA,Contextual Agent Security: A Policy for Every Purpose,2025,Contextual policy,JIT generated contextual security policies,task/tool call,generated task policy,contextual evidence,no strong unconditional guarantee,prototype,agent tasks,optional task-alignment/consent layer above ACS floor,medium,B,https://arxiv.org/abs/2501.17070,Policy generation can restrict but must not silently grant authority
PROGENT,Progent: Programmable Privilege Control for LLM Agents,2025,Privilege control,DSL over tools/arguments; SMT expansion check; approval,tool argument/policy state,task policy + LLM updates + approval,execution context values,monotonic confinement without approved expansion,proxy; framework integrations,"AgentDojo, ASB, adaptive attacks",direct challenge; borrow argument policies and expansion lattice,critical,B,https://arxiv.org/abs/2504.11703,Current version reports LangChain/OpenAI SDK/MCP/multi-agent integration
