ID,Year,Work,Authors,Research stream,Core mechanism / contribution,Formalism / representation,Policy source,Uniqueness,Source-supported limitations,Reviewer-inferred limitations,Agent-security relevance,Relationship to Conflux,Conflux impact,Novelty impact,Priority,Review status,Claim-safe status,Primary/source URL,Connected IDs,Connected works,Recommended Conflux use,Full-review questions,Audit basis
L001,1998,Security Policy Specification Using a Graphical Approach (LaSCO),James A. Hoagland; Raju Pandey; Karl N. Levitt,Policy specification / enforcement,Graph-based security constraints; executable wrappers,First-order logic + directed graphs,Human-authored formal policy,Early graph-and-first-order-logic policy language designed to support executable enforcement wrappers.,,Assumes policy intent is already formalized and instrumentation is complete; it does not derive policy from provenance or an ACS.,Foundational policy-as-code/reference-monitor ancestor,Shows formal policies can be compiled to enforcement; historical predecessor to FORGE and Conflux policy layer,Historical policy-as-code ancestor; Conflux should not claim formal policy compilation/reference monitoring as novel.,Moderate,High,Verified primary,Publication-safe metadata,https://arxiv.org/abs/cs/9809124,L002; L004; L009; L040; L023,The Ponder Policy Specification Language; Security and Management Policy Specification; Security Policy Refinement Using Data Integration: A Position Paper; Conflicts in Policy-Based Distributed Systems Management; Policy Compiler for Secure Agentic Systems / FORGE,Use to position Conflux policy compilation as part of a long policy-engineering lineage; distinguish specification/refinement from runtime authority derivation.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L002,2001,The Ponder Policy Specification Language,Nicodemos Damianou; Naranker Dulay; Emil Lupu; Morris Sloman,Policy specification / management,"Authorization, refrain, obligation, delegation and role policies",Declarative object-oriented policy language,Human-authored formal policy,"Rich enterprise policy vocabulary combining authorization, prohibition/refrain, obligation, delegation, roles and domains.",,"Substantial policy-authoring, conflict and refinement burden; policy-language correctness is not organizational-intent correctness.","Strongly relevant to delegation, obligations, organisational policy",Prior art for richer policy semantics beyond ACS permission intersection,"Prior art for delegation/obligation semantics that should compose with, not be replaced by, Principal Context.",High,High,Verified primary,Publication-safe metadata,https://link.springer.com/chapter/10.1007/3-540-44569-2_2,L001; L004; L009; L040; L023,Security Policy Specification Using a Graphical Approach (LaSCO); Security and Management Policy Specification; Security Policy Refinement Using Data Integration: A Position Paper; Conflicts in Policy-Based Distributed Systems Management; Policy Compiler for Secure Agentic Systems / FORGE,Use to position Conflux policy compilation as part of a long policy-engineering lineage; distinguish specification/refinement from runtime authority derivation.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L003,2001,The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management,David Ferraiolo et al.,Access control / policy architecture,Unifying policy-machine architecture for multiple access-control models,Formal access-control relations,Administrative policy/configuration,Unifying access-control architecture intended to realize multiple policy models through a common mechanism.,,"Does not solve policy acquisition, ambiguous intent or data-influence attribution.",Directly relevant to existing-ACS integration,Useful historical basis for treating organisational authorization as a substrate rather than inventing agent-specific permissions,Supports Conflux treating the organizational ACS as a substrate rather than a new agent-specific permission system.,Low,Medium,Needs full-text review,Needs citation verification before publication,https://www.nist.gov/publications/policy-machine-security-policy-management,L029; L030; L038; L014,"Role-Based Access Control Models; Current Research and Open Problems in Attribute-Based Access Control; Zanzibar: Google’s Consistent, Global Authorization System; Defending Against Indirect Prompt Injection Attacks With Spotlighting",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L004,2002,Security and Management Policy Specification,Morris Sloman; Emil Lupu,Policy specification / refinement,Survey of policy specification and implementable policy systems,Multiple policy formalisms,High-level organisational policies,Canonical early survey framing high-level policy-to-enforcement refinement as a systems-management problem.,,Survey rather than a complete automatic refinement solution.,Directly relevant to policy engineering,Establishes long-running policy-specification/refinement problem that Conflux should cite,Important historical basis for modern agent policy autoformalization.,High,High,Verified primary,Publication-safe metadata,https://doi.org/10.1109/65.993218,L002; L009; L040; L008; L010; L011,The Ponder Policy Specification Language; Security Policy Refinement Using Data Integration: A Position Paper; Conflicts in Policy-Based Distributed Systems Management; An Empirical Study of Natural Language Parsing of Privacy Policy Rules Using the SPARCLE Policy Workbench; A Controlled Natural Language Interface for Authoring Access Control Policies; Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy),Use to position Conflux policy compilation as part of a long policy-engineering lineage; distinguish specification/refinement from runtime authority derivation.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L005,2003,Preventing Privilege Escalation,Niels Provos; Markus Friedl; Peter Honeyman,Privilege separation,Privilege separation and reduction,Systems security design,System configuration,Practical privilege-separation redesign of OpenSSH showing that least-privilege architecture can contain compromise.,,"Relies on trusted decomposition, OS boundaries and a small privileged monitor; does not track information influence.",Foundational to PE framing,Already cited; retain as classical security anchor,Foundational PE background but not direct provenance prior art.,Moderate,High,Existing Conflux reference,Needs citation verification before publication,https://www.usenix.org/conference/12th-usenix-security-symposium/preventing-privilege-escalation,L031; L032; L017; L019,Protection in Operating Systems; Enforceable Security Policies; Defeating Prompt Injections by Design (CaMeL); Contextual Integrity in LLMs via Reasoning and Reinforcement Learning,Already cited; retain as classical security anchor,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L006,2004,Privacy as Contextual Integrity,Helen Nissenbaum,Contextual integrity / privacy,Privacy as conformity with context-specific informational norms,Conceptual normative framework,Social/contextual norms,Reframes privacy as context-relative informational norms rather than secrecy or user control alone.,,"Conceptual framework; norm grounding, context identification and disagreement remain hard.",Central to context-sensitive agent behavior,Shows authorization alone is not sufficient to capture appropriateness of information flows,Provides a separate contextual-policy objective beyond Conflux's narrower PE invariant.,High,Critical,Verified primary,Publication-safe metadata,https://digitalcommons.law.uw.edu/wlr/vol79/iss1/10/,L007; L021; L024,Privacy and Contextual Integrity: Framework and Applications; A Critical Evaluation of Defenses Against Prompt Injection Attacks; AI Agents May Always Fall for Prompt Injections,Treat contextual appropriateness as a policy dimension distinct from bare ACS authorization; use it to motivate visibility/consent/context policies without weakening the hard Principal-Context authority invariant.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Can the norm be represented as a deterministic predicate over Conflux state, or does it require model judgement? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L007,2006,Privacy and Contextual Integrity: Framework and Applications,Adam Barth; Anupam Datta; John C. Mitchell; Helen Nissenbaum,Contextual integrity / formalization,"Formalizes transmission norms including actors, information and temporal conditions",Logical framework / trace properties,Formalized contextual norms,"Turns Contextual Integrity into machine-reasonable transmission norms over actors, information and history.",,Correctness depends on faithful norm formalization and trustworthy event facts; no automatic norm discovery.,Directly relevant to SLED-V and visibility/confidentiality,Provides a formal bridge from CI to trace-level verification; particularly relevant to richer Conflux policies,Directly relevant to visibility/consent and temporal SLED-V policies.,High,Critical,Verified primary,Publication-safe metadata,https://theory.stanford.edu/~jcm/papers/barth-datta-mitchell-nissenbaum-2006.pdf,L006; L021; L024; L033,Privacy as Contextual Integrity; A Critical Evaluation of Defenses Against Prompt Injection Attacks; AI Agents May Always Fall for Prompt Injections; Hyperproperties,Treat contextual appropriateness as a policy dimension distinct from bare ACS authorization; use it to motivate visibility/consent/context policies without weakening the hard Principal-Context authority invariant.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Can the norm be represented as a deterministic predicate over Conflux state, or does it require model judgement? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L008,2006,An Empirical Study of Natural Language Parsing of Privacy Policy Rules Using the SPARCLE Policy Workbench,Carolyn A. Brodie; Clare-Marie Karat; John Karat,Natural language policy extraction,Parses organisational privacy rules into machine-readable XML,Grammar + shallow parsing,Natural-language organisational policy,Early practical natural-language privacy-policy workbench producing machine-readable policies.,,Parser/grammar coverage and semantic extraction errors remain security-critical.,Pre-LLM autoformalization lineage,Historical precedent for linking prose policy to machine-readable enforcement/audit,Historical ancestor of modern LLM policy autoformalization; motivates provenance/review for generated policy.,High,High,Verified primary,Publication-safe metadata,https://doi.org/10.1145/1143120.1143123,L004; L010; L011; L026,Security and Management Policy Specification; A Controlled Natural Language Interface for Authoring Access Control Policies; Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy); Autoformalization of Agent Instructions into Policy-as-Code,"Use as prior art for policy acquisition. Generated/learned policy should carry provenance, confidence/review status, and should not silently become part of Conflux hard security assumptions.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What are measured translation errors, and how are false permissions prevented? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L009,2009,Security Policy Refinement Using Data Integration: A Position Paper,Robert Craven; Jorge Lobo; Emil Lupu; Alessandra Russo; Morris Sloman,Policy refinement,Derives lower-level runnable policies from high-level policies/goals,Structured transformation / data integration,High-level policy goals,Recasts policy refinement as structured data-integration-style mappings over subject/action/target/conditions.,,Position paper with initial ideas; semantic burden moves into trusted transformation mappings.,Relevant to policy compilation pipeline,Frames exactly the high-level-to-enforceable-policy gap modern agent autoformalization revisits,Useful bridge from classic policy refinement to modern agent policy compilers.,Moderate,High,Verified primary; metadata corrected,Publication-safe metadata,https://research.ibm.com/publications/security-policy-refinement-using-data-integration-a-position-paper,L004; L002; L040; L026,Security and Management Policy Specification; The Ponder Policy Specification Language; Conflicts in Policy-Based Distributed Systems Management; Autoformalization of Agent Instructions into Policy-as-Code,Use to position Conflux policy compilation as part of a long policy-engineering lineage; distinguish specification/refinement from runtime authority derivation.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L010,2011,A Controlled Natural Language Interface for Authoring Access Control Policies,Leilei Shi; David W. Chadwick,Natural language policy authoring,Controlled-English interface compiles policies for a PDP,Controlled natural language parser,User-authored controlled English,Uses controlled natural language to make access-control policy translation deterministic and usable by non-specialists.,,Expressiveness/usability trade-off; users must stay inside the controlled grammar.,Pre-LLM autoformalization lineage,Shows an alternative to probabilistic NL-to-policy translation: constrain the input language,High-assurance alternative to unrestricted LLM policy translation.,Moderate,High,Verified primary,Publication-safe metadata,https://kar.kent.ac.uk/31980/,L008; L011; L026,An Empirical Study of Natural Language Parsing of Privacy Policy Rules Using the SPARCLE Policy Workbench; Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy); Autoformalization of Agent Instructions into Policy-as-Code,"Use as prior art for policy acquisition. Generated/learned policy should carry provenance, confidence/review status, and should not silently become part of Conflux hard security assumptions.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What are measured translation errors, and how are false permissions prevented? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
